Word,Log Rank,Log Frequency
of the,0.0,2.655138434811382
in the,0.3010299956639812,2.6085260335771943
at the,0.47712125471966244,2.3201462861110542
he was,0.6020599913279624,2.311753861055754
to the,0.6989700043360189,2.307496037913213
on the,0.7781512503836436,2.2764618041732443
for the,0.8450980400142568,2.2355284469075487
to be,0.9030899869919435,2.2041199826559246
in a,0.9542425094393249,2.2013971243204513
had been,1.0,2.1492191126553797
of a,1.0413926851582251,2.0791812460476247
with the,1.0791812460476249,2.0644579892269186
it was,1.1139433523068367,2.0492180226701815
and the,1.146128035678238,2.037426497940624
last night,1.1760912590556813,2.0293837776852097
by the,1.2041199826559248,2.0043213737826426
that the,1.2304489213782739,2.0
the bbc,1.255272505103306,2.0
will be,1.2787536009528289,1.9867717342662448
one of,1.3010299956639813,1.9731278535996986
he said,1.3222192947339193,1.9637878273455553
it s,1.3424226808222062,1.9637878273455553
for a,1.3617278360175928,1.9590413923210936
he had,1.380211241711606,1.9590413923210936
the court,1.3979400086720377,1.9590413923210936
year old,1.414973347970818,1.9493900066449128
has been,1.4313637641589874,1.9444826721501687
with a,1.4471580313422192,1.9444826721501687
as a,1.462397997898956,1.9294189257142926
from the,1.4771212547196624,1.9294189257142926
said the,1.4913616938342726,1.9242792860618816
she was,1.505149978319906,1.9138138523837167
it is,1.5185139398778875,1.9084850188786497
was a,1.5314789170422551,1.9084850188786497
that he,1.5440680443502757,1.8808135922807914
to a,1.5563025007672873,1.8808135922807914
after the,1.568201724066995,1.8692317197309762
of his,1.5797835966168101,1.8692317197309762
have been,1.591064607026499,1.845098040014257
nursing care,1.6020599913279623,1.8388490907372552
she said,1.6127838567197355,1.8325089127062364
he has,1.6232492903979006,1.792391689498254
and a,1.6334684555795864,1.7853298350107671
more than,1.6434526764861874,1.7853298350107671
on a,1.6532125137753437,1.7853298350107671
when he,1.662757831681574,1.7708520116421442
said it,1.6720978579357175,1.7558748556724915
to have,1.6812412373755872,1.7558748556724915
told the,1.6901960800285136,1.7558748556724915
as the,1.6989700043360187,1.7403626894942439
said he,1.7075701760979363,1.7403626894942439
i m,1.7160033436347992,1.7323937598229686
crown court,1.724275869600789,1.724275869600789
she had,1.7323937598229686,1.724275869600789
and his,1.7403626894942439,1.7075701760979363
he is,1.7481880270062005,1.7075701760979363
that she,1.7558748556724915,1.6989700043360187
said i,1.7634279935629373,1.6901960800285136
with his,1.7708520116421442,1.6901960800285136
after a,1.7781512503836436,1.6812412373755872
had a,1.7853298350107671,1.6812412373755872
i have,1.792391689498254,1.6812412373755872
the band,1.7993405494535817,1.6812412373755872
the nhs,1.806179973983887,1.6720978579357175
at a,1.8129133566428555,1.662757831681574
jailed for,1.8195439355418688,1.662757831681574
would be,1.8260748027008264,1.662757831681574
is a,1.8325089127062364,1.6532125137753437
said that,1.8388490907372552,1.6532125137753437
who was,1.845098040014257,1.6532125137753437
is the,1.8512583487190752,1.6434526764861874
of her,1.8573324964312685,1.6434526764861874
his wife,1.863322860120456,1.6334684555795864
over the,1.8692317197309762,1.6334684555795864
the first,1.8750612633917,1.6334684555795864
the year,1.8808135922807914,1.6334684555795864
mr hagland,1.8864907251724818,1.6232492903979006
the jury,1.8920946026904804,1.6232492903979006
by a,1.8976270912904414,1.6127838567197355
and her,1.9030899869919435,1.6020599913279623
court heard,1.9084850188786497,1.6020599913279623
in his,1.9138138523837167,1.6020599913279623
last year,1.919078092376074,1.6020599913279623
going to,1.9242792860618816,1.591064607026499
to her,1.9294189257142926,1.591064607026499
who had,1.9344984512435677,1.591064607026499
be a,1.9395192526186185,1.5797835966168101
but the,1.9444826721501687,1.5797835966168101
i was,1.9493900066449128,1.5797835966168101
the baby,1.954242509439325,1.5797835966168101
all the,1.9590413923210936,1.568201724066995
did not,1.9637878273455553,1.568201724066995
was found,1.968482948553935,1.568201724066995
a lot,1.9731278535996986,1.5563025007672873
as he,1.9777236052888478,1.5563025007672873
is not,1.9822712330395684,1.5563025007672873
the two,1.9867717342662448,1.5563025007672873
in london,1.9912260756924949,1.5440680443502757
