Total Words,Total Unique Words
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,25
28,26
29,27
30,27
31,28
32,29
33,29
34,30
35,31
36,31
37,31
38,32
39,33
40,33
41,33
42,34
43,35
44,35
45,36
46,36
47,37
48,38
49,39
50,39
51,39
52,40
53,40
54,41
55,42
56,42
57,43
58,44
59,45
60,45
61,45
62,46
63,46
64,47
65,47
66,47
67,47
68,47
69,48
70,49
71,50
72,51
73,52
74,53
75,53
76,54
77,55
78,56
79,57
80,58
81,58
82,58
83,59
84,60
85,60
86,61
87,61
88,61
89,62
90,63
91,63
92,64
93,64
94,65
95,66
96,67
97,68
98,69
99,69
100,69
101,70
102,71
103,72
104,72
105,72
106,72
107,73
108,74
109,74
110,74
111,74
112,75
113,76
114,77
115,78
116,78
117,79
118,79
119,80
120,81
121,82
122,83
123,83
124,83
125,84
126,85
127,85
128,86
129,87
130,88
131,88
132,89
133,89
134,89
135,90
136,91
137,92
138,93
139,94
140,95
141,96
142,97
143,98
144,99
145,99
146,100
147,101
148,102
149,103
150,104
151,105
152,105
153,105
154,105
155,106
156,107
157,108
158,109
159,110
160,110
161,110
162,110
163,111
164,111
165,112
166,113
167,113
168,114
169,114
170,115
171,115
172,116
173,117
174,118
175,119
176,119
177,120
178,121
179,121
180,122
181,122
182,122
183,123
184,123
185,124
186,124
187,125
188,126
189,127
190,127
191,128
192,128
193,129
194,130
195,130
196,131
197,132
198,133
199,134
200,134
201,134
202,135
203,135
204,135
205,135
206,135
207,135
208,136
209,136
210,136
211,136
212,137
213,138
214,138
215,138
216,139
217,140
218,140
219,140
220,141
221,141
222,141
223,142
224,143
225,143
226,144
227,145
228,146
229,147
230,148
231,149
232,150
233,150
234,151
235,151
236,152
237,152
238,152
239,152
240,152
241,152
242,153
243,154
244,154
245,154
246,155
247,156
248,156
249,156
250,157
251,157
252,157
253,157
254,157
255,158
256,158
257,159
258,160
259,160
260,160
261,161
262,161
263,162
264,162
265,162
266,162
267,163
268,163
269,164
270,164
271,165
272,166
273,167
274,168
275,168
276,168
277,168
278,168
279,168
280,168
281,168
282,169
283,169
284,169
285,169
286,169
287,170
288,170
289,171
290,171
291,172
292,173
293,173
294,174
295,175
296,176
297,176
298,177
299,177
300,178
301,178
302,178
303,178
304,179
305,180
306,181
307,181
308,181
309,182
310,183
311,184
312,185
313,186
314,186
315,187
316,187
317,188
318,188
319,188
320,188
321,188
322,189
323,190
324,191
325,192
326,192
327,192
328,192
329,193
330,194
331,194
332,195
333,195
334,196
335,196
336,197
337,197
338,198
339,198
340,198
341,198
342,199
343,199
344,199
345,200
346,200
347,201
348,202
349,202
350,203
351,204
352,205
353,206
354,206
355,207
356,207
357,208
358,209
359,209
360,209
361,210
362,210
363,210
364,211
365,211
366,211
367,211
368,211
369,211
370,211
371,212
372,212
373,212
374,213
375,214
376,215
377,215
378,215
379,215
380,216
381,217
382,217
383,218
384,218
385,218
386,218
387,218
388,218
389,219
390,220
391,221
392,222
393,223
394,223
395,224
396,224
397,224
398,224
399,225
400,226
401,226
402,227
403,227
404,227
405,227
406,227
407,228
408,229
409,230
410,230
411,231
412,231
413,232
414,232
415,232
416,232
417,232
418,233
419,233
420,234
421,234
422,234
423,234
424,234
425,235
426,236
427,237
428,237
429,238
430,238
431,238
432,239
433,240
434,241
435,242
436,243
437,244
438,244
439,244
440,245
441,246
442,247
443,248
444,248
445,248
446,249
447,250
448,250
449,250
450,250
451,251
452,251
453,252
454,252
455,252
456,252
457,252
458,253
459,253
460,253
461,253
462,253
463,254
464,255
465,256
466,257
467,258
468,258
469,259
470,260
471,261
472,262
473,263
474,263
475,263
476,263
477,263
478,264
479,264
480,265
481,265
482,265
483,265
484,266
485,266
486,266
487,267
488,267
489,268
490,268
491,268
492,269
493,269
494,269
495,269
496,269
497,270
498,270
499,271
500,272
501,272
502,272
503,273
504,273
505,273
506,274
507,275
508,275
509,275
510,276
511,276
512,276
513,277
514,277
515,277
516,277
517,277
518,277
519,277
520,277
521,277
522,277
523,278
524,278
525,278
526,279
527,279
528,279
529,280
530,280
531,280
532,280
533,280
534,281
535,281
536,281
537,282
538,282
539,283
540,284
541,285
542,286
543,286
544,287
545,287
546,287
547,288
548,288
549,289
550,289
551,289
552,289
553,289
554,289
555,290
556,291
557,291
558,291
559,292
560,292
561,293
562,293
563,293
